pid,age,survey_year
100160601,33,2022
100453431,33,2014
100724601,34,2022
103465551,34,2020
103465551,36,2022
103788501,33,2020
103924503,34,2016
103952551,34,2022
107624501,33,2014
108476551,34,2020
109606501,34,2022
110003102,35,2010
110003102,37,2012
110011101,37,2010
110020104,36,2010
110020106,34,2010
110020106,36,2012
110022101,34,2012
110022101,36,2014
110022102,34,2010
110022102,36,2012
110023101,34,2010
110023101,36,2012
110023501,33,2014
110026101,33,2010
110026101,35,2012
110026101,37,2014
110026102,37,2010
110040102,37,2010
110043102,37,2010
110047102,33,2010
110047102,35,2012
110047102,37,2014
110050102,33,2014
110050102,35,2016
110050103,34,2014
110050103,36,2016
110051104,34,2020
110051104,36,2022
110052104,36,2022
110052431,34,2022
110060103,34,2014
110060103,36,2016
110062531,33,2020
110064101,34,2014
110064101,37,2016
110064102,33,2016
110067101,34,2020
110067101,36,2022
110069103,33,2012
110069103,35,2014
110069103,37,2016
110075104,33,2010
110075104,37,2014
110078104,36,2010
110079102,37,2010
110083103,34,2012
110083103,36,2014
110083104,33,2012
110083104,35,2014
110083104,37,2016
110084103,33,2020
110099101,34,2012
110099101,36,2014
110099102,33,2014
110108103,33,2016
110108103,37,2020
110111103,33,2014
110111103,35,2016
110111531,36,2014
110113103,34,2014
110124101,34,2014
110124101,37,2016
110124102,33,2016
110129101,33,2014
110129101,35,2016
110129102,34,2012
110129102,36,2014
110147101,35,2016
110157101,36,2010
110159101,35,2014
110161101,33,2014
110161102,34,2014
110164101,37,2010
110717501,35,2014
110717501,37,2016
112255551,34,2016
112640551,34,2020
112640551,36,2022
115733502,37,2014
115788432,34,2020
115788432,36,2022
115961501,34,2020
115961501,36,2022
117227551,33,2020
117661501,34,2016
117661501,37,2020
118404501,36,2020
119569501,35,2020
119569501,37,2022
120001101,33,2012
120001101,35,2014
120001101,37,2016
120001102,35,2010
120001102,37,2012
120007101,34,2014
120007101,36,2016
120007102,33,2010
120007102,35,2012
120007102,37,2014
120009104,37,2010
120012101,34,2014
120012101,36,2016
120012102,33,2014
120012102,36,2016
120013101,33,2010
120013101,35,2012
120013101,37,2014
120013105,34,2012
120013105,36,2014
120016102,36,2022
120018101,34,2014
120018101,36,2016
120022101,33,2016
120022102,33,2014
120023103,36,2022
120024101,34,2010
120024101,36,2012
120025101,35,2016
120029102,34,2014
120029102,36,2016
120031103,33,2022
120032101,33,2014
120032101,35,2016
120032102,34,2010
120032102,36,2012
120034103,34,2022
120035102,33,2010
120035102,35,2012
120035102,37,2014
120038101,33,2012
120038101,35,2014
120038101,37,2016
120038102,34,2014
120038102,36,2016
120039101,33,2016
120039101,37,2020
120039102,34,2016
120040101,34,2012
120040101,36,2014
120040102,33,2012
120040102,35,2014
120052101,37,2010
120052103,37,2010
120063101,34,2014
120063101,36,2016
120063102,34,2012
120063102,36,2014
120067531,35,2016
120071101,35,2010
120071101,37,2012
120071102,37,2010
120072102,33,2012
120072102,35,2014
120072102,37,2016
120076104,33,2012
120076105,34,2012
120078103,34,2016
120078104,34,2016
120080103,35,2022
120082101,34,2016
120082104,33,2014
120082104,35,2016
120086101,33,2010
120086101,35,2012
120086101,37,2014
120086103,33,2010
120086103,35,2012
120086103,37,2014
120089101,34,2022
120093101,36,2010
120093102,36,2010
120095101,34,2012
120095101,36,2014
120095102,33,2012
120095102,35,2014
120095102,37,2016
120096103,34,2014
120096103,36,2016
120096104,33,2014
120096104,35,2016
120097101,34,2022
120097431,34,2022
120100103,33,2022
120101101,35,2010
120101101,37,2012
120101102,34,2010
120101102,36,2012
120102103,35,2022
120103101,36,2016
120103103,34,2012
120104103,34,2014
120104103,36,2016
120104104,34,2016
