pid,survey_count,age_35_years,all_survey_years,min_age,max_age
110020104,7,2010,"2010,2012,2014,2016,2018,2020,2022",2,48
110020106,7,"2010,2012","2010,2012,2014,2016,2018,2020,2022",2,46
110026101,7,"2010,2012,2014","2010,2012,2014,2016,2018,2020,2022",2,45
110026102,7,2010,"2010,2012,2014,2016,2018,2020,2022",2,49
110051104,7,"2020,2022","2010,2012,2014,2016,2018,2020,2022",2,36
110060103,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
110067101,7,"2020,2022","2010,2012,2014,2016,2018,2020,2022",1,36
110083103,7,"2012,2014","2010,2012,2014,2016,2018,2020,2022",2,44
110083104,7,"2012,2014,2016","2010,2012,2014,2016,2018,2020,2022",2,43
110108103,7,"2016,2020","2010,2012,2014,2016,2018,2020,2022",2,39
110124101,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
120001101,7,"2012,2014,2016","2010,2012,2014,2016,2018,2020,2022",2,43
120001102,7,"2010,2012","2010,2012,2014,2016,2018,2020,2022",2,47
120007101,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
120009104,7,2010,"2010,2012,2014,2016,2018,2020,2022",2,49
120012101,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
120018101,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",4,42
120029102,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
120031103,7,2022,"2010,2012,2014,2016,2018,2020,2022",2,33
120039101,7,"2016,2020","2010,2012,2014,2016,2018,2020,2022",2,39
120063101,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
120063102,7,"2012,2014","2010,2012,2014,2016,2018,2020,2022",2,44
120071101,7,"2010,2012","2010,2012,2014,2016,2018,2020,2022",2,47
120071102,7,2010,"2010,2012,2014,2016,2018,2020,2022",2,49
120082101,7,2016,"2010,2012,2014,2016,2018,2020,2022",2,40
120082104,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,41
120096103,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
120096104,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,41
120097101,7,2022,"2010,2012,2014,2016,2018,2020,2022",2,34
120100103,7,2022,"2010,2012,2014,2016,2018,2020,2022",2,33
120101102,7,"2010,2012","2010,2012,2014,2016,2018,2020,2022",2,46
120104103,7,"2014,2016","2010,2012,2014,2016,2018,2020,2022",2,42
120108103,7,"2010,2012,2014","2010,2012,2014,2016,2018,2020,2022",2,45
130004101,7,2010,"2010,2012,2014,2016,2018,2020,2022",2,48
