pid,gender,ibirthy,age_range,qg11_2014,qg11_2016,qg11_2018,qg11_2020,qg11_2022
130724103,0,1994,20-28,2200,NA,NA,1500,2000
140628103,1,1975,39-47,3000,NA,3000,4000,NA
140642104,1,1994,20-28,NA,3300,5000,5800,6300
140628104,0,1976,38-46,2000,NA,NA,4000,NA
140642103,1,1994,20-28,NA,4000,NA,5000,6600
140652104,1,1995,19-27,3500,NA,4500,6000,5000
340294431,0,1976,38-46,NA,NA,1000,0,NA
410549102,1,1965,49-57,3500,NA,4000,NA,NA
410548101,1,1977,37-45,6500,6500,7000,7000,NA
410507102,1,1985,29-37,5000,NA,8000,8000,15000
410508103,0,1986,28-36,1513,NA,2490,NA,3090
410544104,1,1992,22-30,NA,2700,2000,6300,7500
410505103,1,1985,29-37,5000,NA,NA,5000,3000
130299106,0,1945,69-77,760,720,NA,NA,NA
130664104,0,1997,17-25,1200,2600,3500,4500,3000
130654103,1,1971,43-51,NA,NA,3000,NA,4500
130644104,0,1990,24-32,NA,1500,2000,NA,NA
130281103,1,1988,26-34,5000,NA,6000,8000,15000
130807103,1,1983,31-39,NA,NA,600,800,NA
130811103,1,1990,24-32,NA,NA,NA,5000,6000
130703104,1,1983,31-39,NA,NA,NA,5000,1000
130721105,1,1991,23-31,2000,NA,5000,6900,9000
130935105,1,1990,24-32,NA,NA,NA,10000,12000
130716103,1,1990,24-32,NA,NA,3500,3700,4500
130755103,1,1990,24-32,4200,3200,2400,3500,4800
130766103,1,1993,21-29,2000,3200,3000,6000,4000
130673102,1,1968,46-54,NA,NA,4000,5000,4500
130672103,0,1993,21-29,NA,1700,2000,NA,1000
130849103,0,1992,22-30,1300,NA,4500,4000,5000
130851103,1,1983,31-39,NA,NA,NA,9000,8000
120129103,0,1993,21-29,NA,4200,7800,10000,5000
140668105,1,1985,29-37,2500,NA,4000,6000,10000
130872102,1,1980,34-42,1950,4000,5000,5000,NA
140520103,1,1995,19-27,NA,6000,5000,NA,7000
140193105,1,1995,19-27,NA,NA,NA,11500,12000
130155104,1,1989,25-33,NA,NA,4500,8000,7500
130630104,1,1992,22-30,4700,NA,NA,6000,NA
130439103,1,1976,38-46,5500,NA,5000,4000,NA
130439104,0,1976,38-46,5000,NA,3000,3500,NA
130558102,1,1966,48-56,NA,NA,NA,320,600
130458104,1,1991,23-31,5000,7000,3700,5000,NA
130465103,1,1979,35-43,3000,NA,3000,3500,4800
130457104,1,1987,27-35,3400,NA,5000,5000,9500
130008103,1,1987,27-35,2000,NA,6000,6000,8500
130012103,1,1989,25-33,3400,NA,3500,4200,4000
130208105,0,1992,22-30,NA,NA,NA,5000,5700
130201101,1,1991,23-31,NA,NA,NA,4100,9800
130096103,1,1989,25-33,6500,NA,14000,NA,18321
130093103,1,1988,26-34,3300,NA,3500,NA,4000
130541103,1,1990,24-32,NA,4000,4000,6500,0
130534101,1,1983,31-39,4000,NA,NA,6500,8000
130049103,0,1990,24-32,NA,NA,2500,NA,3600
130104103,1,1979,35-43,3000,NA,3000,3500,3500
140093103,0,1989,25-33,3500,NA,NA,3500,6000
140090104,1,1995,19-27,NA,NA,4000,3000,3000
140097105,0,1992,22-30,NA,5500,7000,8000,20000
140108104,0,1989,25-33,3000,8000,8000,8000,5500
140677101,1,1962,52-60,NA,NA,6000,7500,NA
140177101,1,1979,35-43,5000,NA,8000,6000,NA
140658103,1,1998,16-24,NA,3000,4500,7000,6000
140658104,1,1968,46-54,NA,NA,NA,3000,7000
140548103,1,1983,31-39,NA,4000,4300,4500,6000
140564102,1,1990,24-32,3500,2000,NA,NA,NA
210488103,1,1994,20-28,1148,NA,2000,NA,3300
220220103,0,1995,19-27,NA,NA,NA,5600,5400
210164104,0,1992,22-30,NA,3000,2300,2400,2700
210078102,1,1967,47-55,NA,6000,80100,NA,NA
210083103,1,1984,30-38,10000,NA,5000,5000,4000
210083104,0,1982,32-40,NA,NA,3500,3000,NA
210144102,1,1975,39-47,NA,NA,NA,12000,9000
210761104,1,1990,24-32,NA,3000,NA,10000,15000
211950105,0,1994,20-28,NA,NA,2900,3000,4500
210753105,1,1992,22-30,3000,NA,3300,3600,3600
210763103,1,1972,42-50,NA,1000,5000,3500,3000
211886102,1,1978,36-44,NA,NA,4000,NA,6000
211804102,1,1965,49-57,4000,NA,5000,6000,5000
211415103,0,1996,18-26,2000,NA,2500,3000,3500
211480103,1,1996,18-26,1700,NA,2200,2890,3500
211459101,0,1991,23-31,2500,NA,1300,NA,2000
211934103,1,1997,17-25,600,NA,3000,3000,3000
211455104,1,1993,21-29,NA,NA,2800,0,5500
211807103,1,1987,27-35,5500,5000,4800,10400,6000
211819103,1,1986,28-36,4000,NA,3500,4000,NA
211792105,0,1982,32-40,2000,NA,2000,0,800
211804103,0,1990,24-32,5000,NA,NA,5000,7000
211427103,1,1981,33-41,4000,2400,NA,4000,5500
211440103,1,1995,19-27,NA,NA,NA,5000,5000
210195101,1,1978,36-44,NA,NA,4000,5000,4200
211452104,0,1993,21-29,NA,NA,2800,3000,2000
211791103,1,1990,24-32,3000,NA,4000,3500,4000
211479104,0,1997,17-25,NA,NA,3100,3000,3500
211451103,1,1992,22-30,5500,NA,7500,NA,4000
211425102,0,1974,40-48,NA,2600,2600,4000,5000
211505103,0,1992,22-30,NA,5000,5000,NA,3000
211197103,0,1991,23-31,2000,2100,1740,2400,2500
211187103,1,1990,24-32,1800,NA,NA,3000,5000
211499104,1,1997,17-25,3700,NA,3200,3200,4500
211763101,1,1972,42-50,NA,5000,NA,NA,7500
210952103,1,1994,20-28,NA,3000,2800,4500,6000
220306103,1,1996,18-26,200,NA,9900,4200,6000
220154103,1,1989,25-33,4000,3000,3500,3000,4000
220043103,1,1980,34-42,5000,4600,6000,6500,6000
220043104,0,1984,30-38,3810,NA,5000,NA,2000
220155103,1,1992,22-30,NA,4000,4000,5000,4500
220094101,0,1978,36-44,NA,NA,3300,3000,3800
220057103,1,1990,24-32,3000,NA,8000,10000,NA
220011102,1,1987,27-35,4000,NA,NA,20000,NA
230632103,1,1992,22-30,NA,NA,NA,10000,8500
230616103,1,1992,22-30,4000,NA,5500,7000,10000
230602103,0,1992,22-30,NA,NA,2000,1500,1500
230026106,0,1992,22-30,NA,1500,2000,2000,2000
230027103,1,1989,25-33,NA,5000,5000,6000,11000
230212102,0,1993,21-29,NA,3100,NA,NA,6000
230167102,0,1950,64-72,2300,NA,2800,3000,NA
230399103,1,1994,20-28,NA,2500,5300,11000,10000
230592103,0,1993,21-29,NA,NA,NA,3000,5000
230064103,1,1981,33-41,NA,4000,3500,5000,4500
