pid,survey_count
100051501,5
100051502,5
100160601,3
100376551,2
100551551,3
100724601,3
100810551,2
101129501,5
101274551,2
102571551,4
102571552,4
103465551,4
103788501,4
105179433,2
106561501,2
107435501,3
107463551,2
108476551,3
108598601,3
108998551,4
109137501,2
109606501,5
109849551,3
109849552,2
109849553,2
109942551,2
110002101,2
110003101,4
110003102,3
110003103,2
110006101,5
110006102,4
110009101,5
110009102,5
110009103,3
110009104,5
110009106,5
110009107,6
110011101,4
110011102,4
110013101,3
110013102,3
110015101,5
110020101,7
110020102,6
110020104,7
110020106,7
110020108,2
110021101,3
110021102,4
110022102,4
110024101,2
110024102,7
110026101,7
110026102,7
110026103,3
110026104,7
110030431,4
110031101,6
110031102,4
110031103,4
110033101,5
110033102,3
110033103,2
110033104,4
110033105,5
110035101,5
110035102,5
110035103,5
110038101,3
110040101,3
110040102,3
110041101,5
110041102,5
110041103,2
110042101,3
110042102,3
110042103,3
110043101,5
110043102,5
110043103,5
110043105,2
110045101,5
110047101,7
110050101,5
110050102,5
110050103,5
110051101,7
110051102,5
110051103,7
110051104,7
110056102,4
110057101,5
110057102,5
110060101,7
110060102,7
110060103,7
110061101,4
110061102,2
110062101,7
110062531,4
110063101,2
110063102,3
110064101,5
110064531,2
110064532,2
110066101,4
110066102,4
110067101,7
110068101,3
110073101,7
110074101,4
110074102,7
110076101,5
110078102,5
110078103,7
110078105,2
110079101,7
110079102,4
110081101,5
110081102,5
110081103,2
110081104,5
110083101,7
110083102,7
110083103,7
110083104,7
110084101,7
110084102,7
110092102,4
110092103,7
110092104,5
110092105,3
110099101,3
110100104,2
110102101,3
110104101,4
110104102,2
110105101,3
110105102,2
110107102,7
110107103,4
110108101,7
110108102,7
110108103,7
110111101,7
110111103,5
110113101,7
110113102,7
110114101,5
110114102,7
110114103,6
110119101,7
110120103,3
110120104,3
110121102,3
110123101,7
110123102,7
110124101,7
110125101,7
110125102,7
110126103,3
110129101,3
110129102,3
110132101,3
110142101,3
110147431,2
110148101,3
110150101,3
110150102,2
110160101,5
110160102,3
110160103,3
110160501,2
110165101,7
110165102,7
110165103,4
110493501,5
110754501,4
110935552,2
111065501,3
111230551,2
111308551,3
114130551,2
114614552,2
115395551,2
115554501,2
115733501,2
115788432,5
115961501,4
117227551,3
118404501,5
120001101,7
120001102,7
120001103,3
120004101,7
120004102,7
120007101,7
120007102,4
120008101,6
120008102,6
120009101,7
120009102,7
120009103,3
120009104,7
120012101,7
120012103,3
120013102,5
120013103,5
120013105,5
120016101,3
120016431,3
120018101,7
120018102,3
120020101,7
120020102,5
120020103,2
120022101,4
120022102,3
120022104,3
120024101,5
120024102,5
120024103,7
120024104,7
120026101,7
120026102,7
120026103,5
120027101,4
120027102,4
120029102,7
120029103,3
120031101,7
120031102,7
120031103,7
120032101,5
120032102,4
120033101,7
120033103,7
120034101,7
120034103,6
120034104,7
120035101,5
120035102,5
120035103,2
120036101,5
120036102,5
120038103,2
120039101,7
120039102,6
120039103,2
120040101,3
120040102,3
120040104,4
120046101,6
120046102,6
120046103,6
120046431,2
120051101,5
120051102,4
120051103,5
120052101,2
120052102,2
120052103,2
120056101,7
120056102,7
120056103,7
120056551,4
120057101,2
120058101,7
120058102,7
120058103,5
120063101,7
120063102,7
120063103,3
120065101,5
120065102,3
120067101,4
120067103,2
120067531,2
120071101,7
120071102,7
120071103,4
120072101,3
120072102,6
120074101,7
120074102,7
120075101,7
120075102,7
120077101,7
120077102,4
120078101,5
120078103,3
120078104,6
120078105,2
120079101,6
120079102,6
120080101,5
120080102,5
120080104,4
120080431,4
120081104,3
120082101,7
120082102,6
120082103,6
120082104,7
120082105,3
120082106,3
120087101,4
120087102,6
120087103,5
120088101,3
120088104,3
120090102,5
120090103,3
120090104,4
120091102,5
120091103,6
120094101,7
120094103,8
120096101,7
120096102,7
120096103,7
120096104,7
120096105,3
120096106,3
120097101,7
120097105,5
120099101,4
120099103,4
120100101,7
120100102,7
120100103,7
120100104,6
120100105,5
120100401,2
120101101,5
120101102,7
120101103,5
120101104,3
120104101,7
120104103,7
120104104,4
120107101,4
120107102,4
120108102,6
120108103,7
120108104,2
120109103,4
120110105,2
120111101,7
120111103,6
120113102,2
120113103,2
120114102,4
120114103,2
120125101,7
120125102,2
120125103,2
120129101,7
120129102,7
120129103,8
120130101,2
120137101,3
120162551,4
120569551,4
120646501,2
121095551,4
121095553,2
122426431,6
123392551,2
123713501,2
123731551,4
123758551,3
123804501,5
124079501,5
125793551,2
127185501,5
127580551,3
127689502,3
127689503,2
127889551,2
128083501,4
128840601,2
128969501,4
130001101,6
130001102,6
130001103,5
130001104,3
130002103,2
130004101,7
130004103,4
130005101,7
130005102,7
130005103,5
130005104,2
130006102,3
130008103,5
130010101,6
130010102,5
130010103,3
130010432,4
130011101,6
130012102,7
130012103,7
130012105,2
130013101,7
130013102,7
130013103,6
