pid,survey_count,age_35_years,all_survey_years,min_age,max_age
110020104,7,2010,2010,36,36
110020106,7,"2010,2012","2010,2012",34,36
110026101,7,"2010,2012,2014","2010,2012,2014",33,37
110026102,7,2010,2010,37,37
110051104,7,"2020,2022","2020,2022",34,36
110060103,7,"2014,2016","2014,2016",34,36
110067101,7,"2020,2022","2020,2022",34,36
110083103,7,"2012,2014","2012,2014",34,36
110083104,7,"2012,2014,2016","2012,2014,2016",33,37
110108103,7,"2016,2020","2016,2020",33,37
110124101,7,"2014,2016","2014,2016",34,37
120001101,7,"2012,2014,2016","2012,2014,2016",33,37
120001102,7,"2010,2012","2010,2012",35,37
120007101,7,"2014,2016","2014,2016",34,36
120009104,7,2010,2010,37,37
120012101,7,"2014,2016","2014,2016",34,36
120018101,7,"2014,2016","2014,2016",34,36
120029102,7,"2014,2016","2014,2016",34,36
120031103,7,2022,2022,33,33
120039101,7,"2016,2020","2016,2020",33,37
120063101,7,"2014,2016","2014,2016",34,36
120063102,7,"2012,2014","2012,2014",34,36
120071101,7,"2010,2012","2010,2012",35,37
120071102,7,2010,2010,37,37
120082101,7,2016,2016,34,34
120082104,7,"2014,2016","2014,2016",33,35
120096103,7,"2014,2016","2014,2016",34,36
120096104,7,"2014,2016","2014,2016",33,35
120097101,7,2022,2022,34,34
120100103,7,2022,2022,33,33
120101102,7,"2010,2012","2010,2012",34,36
120104103,7,"2014,2016","2014,2016",34,36
120108103,7,"2010,2012,2014","2010,2012,2014",33,37
130004101,7,2010,2010,36,36
130012103,7,2022,2022,33,33
130022105,7,"2012,2014,2016","2012,2014,2016",33,37
130032101,7,"2012,2014","2012,2014",34,36
130042101,7,2016,2016,34,34
130045101,7,"2010,2012","2010,2012",34,36
130045102,7,"2012,2014","2012,2014",34,36
130046103,7,"2014,2016","2014,2016",33,35
130059101,7,2010,2010,37,37
130059102,7,"2010,2012","2010,2012",35,37
130060101,7,2010,2010,37,37
130060102,7,2010,2010,37,37
130062101,7,2010,2010,37,37
130070103,7,"2020,2022","2020,2022",35,37
130072101,7,2016,2016,34,34
130073101,7,"2016,2020","2016,2020",33,37
130073102,7,"2014,2016","2014,2016",33,35
130074104,7,"2014,2016","2014,2016",33,35
130077103,7,"2020,2022","2020,2022",34,36
130079101,7,"2016,2020","2016,2020",33,37
130079102,7,2010,2010,36,36
130080102,7,2016,2016,34,34
130086101,7,2010,2010,37,37
130093103,7,2022,2022,34,34
130099104,7,"2010,2012","2010,2012",34,36
130101101,7,2022,2022,34,34
130103101,7,"2014,2016","2014,2016",34,36
130103104,7,"2014,2016","2014,2016",33,35
130134101,7,2022,2022,34,34
130134102,7,"2020,2022","2020,2022",34,36
130140101,7,"2012,2014,2016","2012,2014,2016",33,37
130147101,7,2010,2010,36,36
130149102,7,"2020,2022","2020,2022",33,35
130154104,7,"2010,2012","2010,2012",35,37
130158102,7,2022,2022,34,34
130164102,7,"2020,2022","2020,2022",33,35
130175102,7,"2020,2022","2020,2022",35,37
130175103,7,2022,2022,34,34
130175105,7,2022,2022,33,33
130193103,7,"2020,2022","2020,2022",34,36
130204102,7,"2012,2014,2016","2012,2014,2016",33,37
130204105,7,"2014,2016","2014,2016",33,35
130206103,7,2022,2022,33,33
130207102,7,"2012,2014","2012,2014",34,36
130207103,7,"2014,2016","2014,2016",33,35
130210103,7,2022,2022,34,34
130213103,7,"2020,2022","2020,2022",35,37
130220103,7,"2016,2020","2016,2020",33,37
130220104,7,"2016,2020","2016,2020",33,37
130224103,7,"2020,2022","2020,2022",33,35
130226102,7,2010,2010,37,37
130228101,7,"2012,2014","2012,2014",34,36
130254103,7,"2020,2022","2020,2022",35,37
130277103,7,"2010,2012","2010,2012",34,36
130281103,7,2022,2022,34,34
130293101,7,"2014,2016","2014,2016",33,35
130293102,7,"2014,2016","2014,2016",34,36
130295101,7,"2020,2022","2020,2022",34,36
130297101,7,"2010,2012","2010,2012",34,36
130301103,7,"2020,2022","2020,2022",35,37
130301104,7,"2020,2022","2020,2022",34,36
130306101,7,"2012,2014,2016","2012,2014,2016",33,37
130306102,7,"2010,2012","2010,2012",35,37
130307101,7,"2010,2012","2010,2012",35,37
130307102,7,"2010,2012","2010,2012",35,37
130311106,7,"2020,2022","2020,2022",33,35
130311107,7,2022,2022,33,33
130316103,7,"2020,2022","2020,2022",35,37
130321104,7,2022,2022,33,33
130321105,7,"2020,2022","2020,2022",34,36
130322102,7,"2012,2014,2016","2012,2014,2016",33,37
130322103,7,"2014,2016","2014,2016",33,35
130323102,7,"2014,2016","2014,2016",33,35
130332101,7,"2010,2012","2010,2012",34,36
130381101,7,"2010,2012,2014","2010,2012,2014",33,37
130389101,7,2010,2010,36,36
130389102,7,"2010,2012","2010,2012",35,37
130393105,7,"2014,2016","2014,2016",34,36
130397102,7,2010,2010,37,37
130420101,7,"2012,2014,2016","2012,2014,2016",33,37
130420102,7,"2016,2020","2016,2020",33,37
130425103,7,"2010,2012","2010,2012",35,36
130426103,7,"2012,2014","2012,2014",34,36
130431102,7,2010,2010,37,37
130433103,7,"2014,2016","2014,2016",33,35
130433104,7,2016,2016,34,34
130443104,7,2016,2016,34,34
130451101,7,2020,2020,36,36
130451103,7,"2020,2022","2020,2022",34,36
130452101,7,2010,2010,36,36
130452102,7,2010,2010,37,37
130453101,7,2010,2010,36,36
130459101,7,"2010,2012,2014","2010,2012,2014",33,37
130459102,7,"2012,2014","2012,2014",34,36
130466104,7,2020,2020,36,36
