pid,num_surveys,survey_years,first_year,last_year,age_range
120094103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
120129103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130222103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130315103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130321103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 30
130324105,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130464103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130487103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130574104,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130580104,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130649106,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 30
130694104,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
130766103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130885105,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
130897103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
130920103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
130935106,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
140146107,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
140183105,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
140193106,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
140232103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
140364103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
140659106,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
140777105,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
210223103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
210298103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
210464103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
210488103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
210879103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
211199104,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
211404103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
211409105,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
211452104,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
211536103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
211572102,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
211790106,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
220222103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
230212102,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 29
230364103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
230399103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
230446103,8,"2010,2011,2012,2014,2016,2018,2020,2022",2010,2022,1 - 28
